# key	a	b	extra
ip_set_hash_ipport	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_ipport
ip_set_hash_ipportip	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_ipportip
ip_set_hash_ipportnet	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_ipportnet
ip_set_hash_mac	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_mac
ip_set_hash_net	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_net
ip_set_hash_netiface	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_netiface
ip_set_hash_netnet	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_netnet
ip_set_hash_netport	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_netport
ip_set_hash_netportnet	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_netportnet
ip_set_list_set	0x0	0x0	kernel/net/netfilter/ipset/ip_set_list_set
ip_tables	0x0	0x0	kernel/net/ipv4/netfilter/ip_tables
ip_vs	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs
ip_vs_dh	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_dh
ip_vs_fo	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_fo
ip_vs_ftp	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_ftp
ip_vs_lblc	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_lblc
ip_vs_lblcr	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_lblcr
ip_vs_lc	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_lc
ip_vs_mh	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_mh
ip_vs_nq	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_nq
ip_vs_ovf	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_ovf
ip_vs_pe_sip	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_pe_sip
ip_vs_rr	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_rr
ip_vs_sed	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_sed
ip_vs_sh	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_sh
ip_vs_twos	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_twos
ip_vs_wlc	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_wlc
ip_vs_wrr	0x0	0x0	kernel/net/netfilter/ipvs/ip_vs_wrr
ip_vti	0x0	0x0	kernel/net/ipv4/ip_vti
ipcomp	0x0	0x0	kernel/net/ipv4/ipcomp
ipcomp6	0x0	0x0	kernel/net/ipv6/ipcomp6
ipip	0x0	0x0	kernel/net/ipv4/ipip
ipmb_dev_int	0x0	0x0	kernel/drivers/char/ipmi/ipmb_dev_int
ipmi_devintf	0x0	0x0	kernel/drivers/char/ipmi/ipmi_devintf
ipmi_ipmb	0x0	0x0	kernel/drivers/char/ipmi/ipmi_ipmb
ipmi_msghandler	0x0	0x0	kernel/drivers/char/ipmi/ipmi_msghandler
ipmi_poweroff	0x0	0x0	kernel/drivers/char/ipmi/ipmi_poweroff
ipmi_si	0x0	0x0	kernel/drivers/char/ipmi/ipmi_si
ipmi_ssif	0x0	0x0	kernel/drivers/char/ipmi/ipmi_ssif
ipmi_watchdog	0x0	0x0	kernel/drivers/char/ipmi/ipmi_watchdog
ipr	0x0	0x0	kernel/drivers/scsi/ipr
ipt_ECN	0x0	0x0	kernel/net/ipv4/netfilter/ipt_ECN
