# key	a	b	extra
1861	0x0	0x0	.NET Finalizer
1863	0x0	0x0	.NET SigHandler
1864	0x0	0x0	.NET Timer
1865	0x0	0x0	.NET TP Worker
1866	0x0	0x0	.NET TP Gate
1867	0x0	0x0	.NET TP Worker
1868	0x0	0x0	.NET Sockets
1869	0x0	0x0	.NET TP Worker
1870	0x0	0x0	.NET TP Worker
1875	0x0	0x0	Runner.Worker
1876	0x0	0x0	.NET TP Wait
1877	0x0	0x0	.NET SynchManag
1878	0x0	0x0	.NET EventPipe
1879	0x0	0x0	.NET DebugPipe
1880	0x0	0x0	.NET Debugger
1881	0x0	0x0	.NET Finalizer
1882	0x0	0x0	.NET Tiered Com
1883	0x0	0x0	.NET SigHandler
1884	0x0	0x0	.NET Timer
1885	0x0	0x0	.NET Sockets
1886	0x0	0x0	.NET TP Worker
1887	0x0	0x0	.NET TP Gate
1888	0x0	0x0	.NET TP Worker
1889	0x0	0x0	.NET TP Worker
1890	0x0	0x0	.NET TP Worker
1892	0x0	0x0	.NET TP Wait
1894	0x0	0x0	.NET TP Worker
2005	0x0	0x0	.NET TP Worker
2116	0x0	0x0	.NET TP Worker
2120	0x0	0x0	bash
2121	0x0	0x0	sudo
2122	0x0	0x0	redoubt
